detector,wavelength_nm,voltage_V,scan,timestamp
PDA50B2,1300.0,1.2930924586083703,1,1772321214.5312588
PDA50B2,1300.0100002288818,1.3194089201011392,1,1772321214.536259
PDA50B2,1300.0199999809265,1.3003294854048566,1,1772321214.5412588
PDA50B2,1300.0300002098083,1.3289486376751762,1,1772321214.546259
PDA50B2,1300.039999961853,1.3075665122877893,1,1772321214.5512588
PDA50B2,1300.0500001907349,1.2944082816558518,1,1772321214.556259
PDA50B2,1300.0599999427795,1.3184220527744976,1,1772321214.5612588
PDA50B2,1300.0700001716614,1.3032900873010564,1,1772321214.566259
PDA50B2,1300.079999923706,1.3302644608006742,1,1772321214.5712588
PDA50B2,1300.090000152588,1.309540246907242,1,1772321214.576259
PDA50B2,1300.0999999046326,1.2947372374181678,1,1772321214.5812588
PDA50B2,1300.1100001335144,1.319079964325413,1,1772321214.586259
PDA50B2,1300.119999885559,1.3000005296395052,1,1772321214.5912588
PDA50B2,1300.130000114441,1.3286196818942504,1,1772321214.5962589
PDA50B2,1300.1399998664856,1.309540246907242,1,1772321214.6012588
PDA50B2,1300.1500000953674,1.2914476798030328,1,1772321214.6062589
PDA50B2,1300.159999847412,1.3187510085498657,1,1772321214.6112587
PDA50B2,1300.170000076294,1.3016453084680477,1,1772321214.6162589
PDA50B2,1300.1799998283386,1.3296065492375662,1,1772321214.6212587
PDA50B2,1300.1900000572205,1.309540246907242,1,1772321214.6262589
PDA50B2,1300.1999998092651,1.2917766355637434,1,1772321214.6312587
PDA50B2,1300.210000038147,1.3187510085498657,1,1772321214.6362588
PDA50B2,1300.2199997901917,1.3016453084680477,1,1772321214.6412587
PDA50B2,1300.2300000190735,1.3296065492375662,1,1772321214.6462588
PDA50B2,1300.2399997711182,1.308882335366709,1,1772321214.6512587
PDA50B2,1300.25,1.2924345470857002,1,1772321214.6562588
PDA50B2,1300.2599997520447,1.3187510085498657,1,1772321214.6612587
PDA50B2,1300.2699999809265,1.3006584411703863,1,1772321214.6662588
PDA50B2,1300.2799997329712,1.3302644608006742,1,1772321214.6712587
PDA50B2,1300.289999961853,1.3069086007494024,1,1772321214.6762588
PDA50B2,1300.2999997138977,1.2934214143699732,1,1772321214.6812587
PDA50B2,1300.3099999427795,1.3174351854494684,1,1772321214.6862588
PDA50B2,1300.3199996948242,1.3016453084680477,1,1772321214.6912587
PDA50B2,1300.329999923706,1.328290726113504,1,1772321214.6962588
PDA50B2,1300.340000152588,1.3101981584484903,1,1772321214.701259
PDA50B2,1300.3499999046326,1.2934214143699732,1,1772321214.7062588
PDA50B2,1300.3600001335144,1.3184220527744976,1,1772321214.711259
PDA50B2,1300.369999885559,1.3003294854048566,1,1772321214.7162588
PDA50B2,1300.380000114441,1.328290726113504,1,1772321214.7212589
PDA50B2,1300.3899998664856,1.307895468057251,1,1772321214.7262588
PDA50B2,1300.4000000953674,1.290131856761973,1,1772321214.7312589
PDA50B2,1300.409999847412,1.3171062296748166,1,1772321214.7362587
PDA50B2,1300.420000076294,1.2996715738743325,1,1772321214.7412589
PDA50B2,1300.4299998283386,1.3289486376751762,1,1772321214.7462587
PDA50B2,1300.4400000572205,1.3085533795967108,1,1772321214.7512589
PDA50B2,1300.4499998092651,1.293750370131754,1,1772321214.7562587
PDA50B2,1300.460000038147,1.316448318126051,1,1772321214.7612588
PDA50B2,1300.4699997901917,1.298684706579886,1,1772321214.7662587
PDA50B2,1300.4800000190735,1.3276328145525493,1,1772321214.7712588
PDA50B2,1300.4899997711182,1.3069086007494024,1,1772321214.7762587
PDA50B2,1300.5,1.292763502846946,1,1772321214.7812588
PDA50B2,1300.5099997520447,1.3180930969993088,1,1772321214.7862587
PDA50B2,1300.5199999809265,1.3000005296395052,1,1772321214.7912588
PDA50B2,1300.5299997329712,1.3286196818942504,1,1772321214.7962587
PDA50B2,1300.539999961853,1.3075665122877893,1,1772321214.8012588
PDA50B2,1300.5499997138977,1.2947372374181678,1,1772321214.8062587
PDA50B2,1300.5599999427795,1.3180930969993088,1,1772321214.8112588
PDA50B2,1300.5699996948242,1.3006584411703863,1,1772321214.8162587
PDA50B2,1300.579999923706,1.3289486376751762,1,1772321214.8212588
PDA50B2,1300.5899996757507,1.3082244238268914,1,1772321214.8262587
PDA50B2,1300.5999999046326,1.2934214143699732,1,1772321214.8312588
PDA50B2,1300.6099996566772,1.3174351854494684,1,1772321214.8362586
PDA50B2,1300.619999885559,1.3006584411703863,1,1772321214.8412588
PDA50B2,1300.6299996376038,1.3289486376751762,1,1772321214.8462586
PDA50B2,1300.6399998664856,1.3082244238268914,1,1772321214.8512588
PDA50B2,1300.6499996185303,1.2917766355637434,1,1772321214.8562586
PDA50B2,1300.659999847412,1.319079964325413,1,1772321214.8612587
PDA50B2,1300.670000076294,1.301974264234292,1,1772321214.8662589
PDA50B2,1300.6799998283386,1.3302644608006742,1,1772321214.8712587
PDA50B2,1300.6900000572205,1.308882335366709,1,1772321214.8762589
PDA50B2,1300.6999998092651,1.2924345470857002,1,1772321214.8812587
PDA50B2,1300.710000038147,1.3177641412242989,1,1772321214.8862588
PDA50B2,1300.7199997901917,1.3016453084680477,1,1772321214.8912587
PDA50B2,1300.7300000190735,1.3299355050190305,1,1772321214.8962588
PDA50B2,1300.7399997711182,1.3105271142193828,1,1772321214.9012587
PDA50B2,1300.75,1.2963820162324267,1,1772321214.9062588
PDA50B2,1300.7599997520447,1.3197378758770446,1,1772321214.9112587
PDA50B2,1300.7699999809265,1.3029611315340972,1,1772321214.9162588
PDA50B2,1300.7799997329712,1.3292775934562817,1,1772321214.9212587
PDA50B2,1300.789999961853,1.3085533795967108,1,1772321214.9262588
PDA50B2,1300.7999997138977,1.2921055913246327,1,1772321214.9312587
PDA50B2,1300.8099999427795,1.3194089201011392,1,1772321214.9362588
PDA50B2,1300.8199996948242,1.300987396936095,1,1772321214.9412587
PDA50B2,1300.829999923706,1.3302644608006742,1,1772321214.9462588
PDA50B2,1300.8399996757507,1.3098692026777767,1,1772321214.9512587
PDA50B2,1300.8499999046326,1.2924345470857002,1,1772321214.9562588
PDA50B2,1300.8599996566772,1.3210536989824584,1,1772321214.9612586
PDA50B2,1300.869999885559,1.301974264234292,1,1772321214.9662588
PDA50B2,1300.8799996376038,1.3309223723644998,1,1772321214.9712586
PDA50B2,1300.8899998664856,1.3098692026777767,1,1772321214.9762588
PDA50B2,1300.8999996185303,1.2947372374181678,1,1772321214.9812586
PDA50B2,1300.909999847412,1.3207247432058362,1,1772321214.9862587
PDA50B2,1300.9199995994568,1.3036190430681942,1,1772321214.9912586
PDA50B2,1300.9299998283386,1.3322381954943054,1,1772321214.9962587
PDA50B2,1300.9399995803833,1.3105271142193828,1,1772321215.0012586
PDA50B2,1300.9499998092651,1.2953951489433362,1,1772321215.0062587
PDA50B2,1300.9599995613098,1.319079964325413,1,1772321215.0112586
PDA50B2,1300.9699997901917,1.3032900873010564,1,1772321215.0162587
PDA50B2,1300.9799995422363,1.3315802839290436,1,1772321215.0212586
PDA50B2,1300.9899997711182,1.311513981533134,1,1772321215.0262587
PDA50B2,1301.0,1.2970399277593796,1,1772321215.0312588
PDA50B2,1301.0100002288818,1.3226984778682578,1,1772321215.036259
PDA50B2,1301.0199999809265,1.3016453084680477,1,1772321215.0412588
PDA50B2,1301.0300002098083,1.3305934165824973,1,1772321215.046259
PDA50B2,1301.039999961853,1.3101981584484903,1,1772321215.0512588
PDA50B2,1301.0500001907349,1.2967109719958139,1,1772321215.056259
PDA50B2,1301.0599999427795,1.3200668316531294,1,1772321215.0612588
PDA50B2,1301.0700001716614,1.3046059103706797,1,1772321215.066259
PDA50B2,1301.079999923706,1.3332250628435447,1,1772321215.0712588
PDA50B2,1301.090000152588,1.3125008488484955,1,1772321215.076259
PDA50B2,1301.0999999046326,1.2950661931806629,1,1772321215.0812588
PDA50B2,1301.1100001335144,1.3217116105362403,1,1772321215.086259
PDA50B2,1301.119999885559,1.3036190430681942,1,1772321215.0912588
PDA50B2,1301.130000114441,1.331909239711585,1,1772321215.0962589
PDA50B2,1301.1399998664856,1.3105271142193828,1,1772321215.1012588
PDA50B2,1301.1500000953674,1.293750370131754,1,1772321215.1062589
PDA50B2,1301.159999847412,1.3213826547592598,1,1772321215.1112587
PDA50B2,1301.170000076294,1.304276954603006,1,1772321215.1162589
PDA50B2,1301.1799998283386,1.3332250628435447,1,1772321215.1212587
PDA50B2,1301.1900000572205,1.3118429373047422,1,1772321215.1262589
PDA50B2,1301.1999998092651,1.2957241047061878,1,1772321215.1312587
PDA50B2,1301.210000038147,1.3213826547592598,1,1772321215.1362588
PDA50B2,1301.2199997901917,1.301974264234292,1,1772321215.1412587
PDA50B2,1301.2300000190735,1.331251328146682,1,1772321215.1462588
PDA50B2,1301.2399997711182,1.3121718930765294,1,1772321215.1512587
PDA50B2,1301.25,1.2993426181093386,1,1772321215.1562588
PDA50B2,1301.2599997520447,1.3223695220907392,1,1772321215.1612587
PDA50B2,1301.2699999809265,1.3046059103706797,1,1772321215.1662588
PDA50B2,1301.2799997329712,1.3335540186269836,1,1772321215.1712587
PDA50B2,1301.289999961853,1.3118429373047422,1,1772321215.1762588
PDA50B2,1301.2999997138977,1.293750370131754,1,1772321215.1812587
PDA50B2,1301.3099999427795,1.3210536989824584,1,1772321215.1862588
PDA50B2,1301.3199996948242,1.3032900873010564,1,1772321215.1912587
PDA50B2,1301.329999923706,1.331909239711585,1,1772321215.1962588
PDA50B2,1301.340000152588,1.311513981533134,1,1772321215.201259
PDA50B2,1301.3499999046326,1.2973688835231239,1,1772321215.2062588
PDA50B2,1301.3600001335144,1.320395787429393,1,1772321215.211259
PDA50B2,1301.369999885559,1.3036190430681942,1,1772321215.2162588
PDA50B2,1301.380000114441,1.3322381954943054,1,1772321215.2212589
PDA50B2,1301.3899998664856,1.3125008488484955,1,1772321215.2262588
PDA50B2,1301.4000000953674,1.2967109719958139,1,1772321215.2312589
PDA50B2,1301.409999847412,1.3220405663134003,1,1772321215.2362587
PDA50B2,1301.420000076294,1.3032900873010564,1,1772321215.2412589
PDA50B2,1301.4299998283386,1.331909239711585,1,1772321215.2462587
PDA50B2,1301.4400000572205,1.311513981533134,1,1772321215.2512589
PDA50B2,1301.4499998092651,1.2944082816558518,1,1772321215.2562587
PDA50B2,1301.460000038147,1.320395787429393,1,1772321215.2612588
PDA50B2,1301.4699997901917,1.302632175767317,1,1772321215.2662587
PDA50B2,1301.4800000190735,1.3309223723644998,1,1772321215.2712588
PDA50B2,1301.4899997711182,1.3108560699904543,1,1772321215.2762587
PDA50B2,1301.5,1.2983557508154278,1,1772321215.2812588
PDA50B2,1301.5099997520447,1.3226984778682578,1,1772321215.2862587
PDA50B2,1301.5199999809265,1.304276954603006,1,1772321215.2912588
PDA50B2,1301.5299997329712,1.3332250628435447,1,1772321215.2962587
PDA50B2,1301.539999961853,1.3118429373047422,1,1772321215.3012588
PDA50B2,1301.5499997138977,1.2957241047061878,1,1772321215.3062587
PDA50B2,1301.5599999427795,1.3213826547592598,1,1772321215.3112588
PDA50B2,1301.5699996948242,1.3049348661385325,1,1772321215.3162587
